,home,nonhome
0,0.0,0.0
1,0.0,0.0
2,138609.94970000003,709245.2966
3,114983.43710000008,499021.0263000002
4,99040.26479999993,415645.77220000006
5,85087.12449999996,328272.61449999985
6,93047.59460000004,281433.8867999995
7,77540.38869999998,182399.7963999999
8,62746.96069999996,184303.24689999985
9,68338.56859999998,153621.11870000002
10,64066.963,144650.66490000003
11,46078.907600000006,129405.92679999999
12,64220.12609999998,122230.98570000012
13,55406.5184,115417.7049
14,54992.75330000003,123237.19210000006
15,45035.985100000005,112073.63459999999
16,56261.1645,117673.47879999994
17,46910.24379999999,114351.5707999999
18,75739.33199999997,93874.37990000001
19,68946.5939,97881.38879999997
20,105022.1773000001,100978.86279999999
21,85082.1119,92000.87209999994
22,133269.38159999994,89863.2794
23,110616.41439999997,90527.58089999999
24,173709.61729999984,95355.4551
25,141809.6581999999,100275.32119999995
26,226621.5873999997,86556.87599999999
27,209905.95220000023,91422.47400000003
28,309217.6045000001,104051.95550000004
29,222842.55950000006,84587.2424
30,281194.0929999998,104171.21110000007
31,212161.97369999997,116293.06580000003
32,249719.24739999964,133359.00970000002
33,167937.1116,144000.74339999983
34,193802.26819999973,158813.69989999998
35,131210.8946,159055.6705999999
36,141838.4817,127035.05340000002
37,79586.62550000002,111424.97080000008
38,95253.47740000003,80443.68669999992
39,62081.760799999975,71648.16189999998
40,89365.88470000002,65199.01939999996
41,53583.77650000002,52810.14510000002
42,77615.1005,41554.9636
43,39948.69690000001,35522.8836
44,72530.69329999996,29174.39230000001
45,34894.08549999999,22521.706199999986
46,59930.41829999997,18214.872399999993
47,39014.26450000002,18386.685599999997
48,43468.771000000015,12183.465200000002
49,36387.7246,14478.082700000003
50,37199.376699999986,14723.780200000001
51,35503.547300000006,13356.835200000001
52,49094.46459999999,13937.844600000006
53,19465.183699999998,9954.1555
54,28068.46849999999,4981.793100000001
55,22990.355300000014,9984.888400000003
56,30382.139899999995,8214.492
57,18984.527899999997,7207.270099999999
58,19505.483699999993,8240.7973
59,16347.560999999998,7498.1593
60,23350.443700000007,5542.4071
61,17377.116600000005,7039.710199999999
62,17117.3887,8497.8436
63,18458.786599999996,7532.9306
64,23653.653999999995,11406.036399999999
65,6667.1697,5684.188399999999
66,13830.139000000003,4173.1547
67,10037.2903,5297.884699999999
68,14754.332400000003,5523.566399999999
69,7340.829699999999,3128.2895000000003
70,10591.4484,3041.8268000000003
71,6547.320100000001,571.5321
72,10061.1988,3795.1881000000003
73,7442.424499999999,2983.2394
74,9869.8614,1165.9131
75,5789.3734,0.0
76,2500.2042,677.5485
77,2272.8347,190.19830000000002
78,1981.9618000000003,509.4655
79,1616.4043000000001,0.0
80,1356.2927,0.0
81,291.3918,0.0
82,1935.3589,0.0
83,955.8662,0.0
84,369.21490000000006,0.0
85,98.5118,0.0
86,1636.069,0.0
87,669.7781,0.0
88,0.0,0.0
89,262.1632,0.0
90,327.8524,0.0
91,0.0,0.0
92,624.9907000000001,0.0
93,817.6552,0.0
94,0.0,0.0
95,117.0693,0.0
