,Home,Non-home
0.25,1.121194716240124,17.115577932863864
0.5,1.8361269728610918,18.710900663305114
0.75,1.9514607881524464,8.681866576666419
1.0,1.890281207760498,5.863070489794705
1.25,1.5605182907357298,4.936029504379434
1.5,1.4378740928494333,3.8001454169210582
1.75,1.647808208998696,3.13579233835199
2.0,1.2397873780831272,2.0913044508603864
2.25,1.3068725731857527,1.873278982756128
2.5,1.2481304004743354,1.6172398734213314
2.75,1.3545623580533535,1.3599007584557572
3.0,1.1299377621978806,1.1513274031579135
3.25,1.2983480844128779,1.1363108096869652
3.5,1.2528266731662767,0.9847900975420965
3.75,1.2365755057542815,1.090231009974548
4.0,1.143127661638384,0.9138324033290504
4.25,1.330614889043987,0.9538355465988659
4.5,1.2284129977419334,0.8890110105664208
4.75,1.4607159853828555,0.7850585043237059
5.0,1.5118410896596028,0.7053704493529819
5.25,1.9103931900956352,0.8322693315419816
5.5,1.7883704883830125,0.5854734787294134
5.75,2.433005307272437,0.578040746172738
6.0,2.2517119952947655,0.4690869926516683
6.25,3.189682909192647,0.4695368957420463
6.5,2.662719638995487,0.6066317534974202
6.75,3.7596369336589235,0.504721491375591
7.0,3.6150522531097447,0.48769364269009485
7.25,4.829979454015479,0.7827199403045054
7.5,3.5207238437015134,0.6465363618250964
7.75,4.408558039496302,0.814610504393875
8.0,3.430322125323741,0.9852488149380048
8.25,3.801920374711566,1.325943274121683
8.5,2.7424193867028674,1.3940058658207364
8.75,3.1748112781361746,1.509305637963511
9.0,2.1383954021072396,1.6648508067125423
9.25,2.137310697843833,1.402970761561455
9.5,1.3813173289442644,1.118565358089863
9.75,1.5606346008844814,0.7709532650761208
10.0,1.137739542666755,0.6313699263887836
10.25,1.4039293411244138,0.6506575927218552
10.5,0.9566616057803996,0.4565248417072741
10.75,1.1987809044098878,0.39820181188970655
11.0,0.7388839896080845,0.2702503143747914
11.25,1.083492561415277,0.28613541918733254
11.5,0.5983981122489409,0.1733310292804208
11.75,0.8947797319487617,0.16447561203067887
12.0,0.6471352190345097,0.1298108183801672
12.25,0.677324655433642,0.08148035934655055
12.5,0.6061984267163937,0.08591874428977986
12.75,0.5487122662688377,0.15002749334922674
13.0,0.5780222123512315,0.08633394182003672
13.25,0.7210936630182779,0.13323517976451463
13.5,0.3257352971159115,0.07181015943946897
13.75,0.373999545902287,0.07350395098878405
14.0,0.3871474024669077,0.060890950077429666
14.25,0.48830651908067035,0.04000550595583827
14.5,0.3117933983589906,0.04455247985042638
14.75,0.3029038171995736,0.07155633717343486
15.0,0.25124549739283203,0.06956771115867226
15.25,0.3234863017069209,0.06734132619408678
15.5,0.26369093478154326,0.06551789407493627
15.75,0.24005827472440952,0.10125661514276615
16.0,0.2663724544974058,0.08248326734617263
16.25,0.29894585101150667,0.1649317308405542
16.5,0.10564070092759507,0.05781695303763966
16.75,0.17782774264471232,0.06306928761630329
17.0,0.11348226516554344,0.08750464475859496
17.25,0.16239106959567795,0.10474268035176126
17.5,0.106455257467807,0.033966584914093094
17.75,0.11372378233690401,0.06637956185898708
18.0,0.08661586711271572,0.010445189181719059
18.25,0.11791696921330923,0.06539216182763934
18.5,0.10764388617142433,0.032375724401867804
18.75,0.1046276967074181,0.04255386985925775
19.0,0.0631442751535407,0.014981939513954884
19.25,0.03454573907765255,0.00832467171787223
19.5,0.014286207360794913,0.01755841606371282
19.75,0.03201469936464205,0.0021428063287227653
20.0,0.005587455095434416,0.014891425172109887
20.25,0.017903974170466932,0.0007435175104680794
20.5,0.0040262091761015025,0.0
20.75,0.026741177213050304,0.0
21.0,0.005465105462968914,0.006884546396564711
21.25,0.005101503948750099,0.0
21.5,0.0,0.0012103611702139188
21.75,0.01345054371620527,0.008141043219504021
22.0,0.0092544358906868,0.0
22.25,0.0,0.0
22.5,0.003622352727414202,0.0
22.75,0.004529991376857208,0.0
23.0,0.0,0.0
23.25,0.0022654378377740397,0.00566445680828742
23.5,0.011297678483495794,0.0
23.75,0.0,0.0
24.0,0.0016175660739244538,0.0
