,Home,Public,Idle,P_avg
San Francisco,0.237382863192034,0.23788053916959792,0.524736597638368,5.229888129888207
San Mateo,0.45994592848015986,0.23104270140054797,0.3090113701192923,6.685262020369339
Santa Clara,0.44294093610729107,0.23528428100897297,0.3217747828837359,6.629850767885633
Alameda,0.45039433406411755,0.21055108291532063,0.3390545830205619,6.311026582178632
Contra Costa,0.5636818023471306,0.20013110707896709,0.23618709057390225,6.947739222614421
Solano,0.5594725540261628,0.20982100348638277,0.2307064424874544,7.063622930478881
Napa,0.5319705566724442,0.224681427643819,0.2433480156837367,7.0940153113643944
Sonoma,0.5488728702153383,0.19892180587010896,0.2522053239145528,6.825937179559002
Marin,0.5122400767135881,0.21037165634432323,0.2773882669420886,6.741255382159966
